NOC_CODE,OASIS_LABEL,TEER,Weight
0001,Legislators,0,0.2
0001,Senior government managers and officials,0,0.2
0001,"Senior managers - construction, transportation, production and utilities",0,0.2
0001,"Senior managers - financial, communications and other business services",0,0.2
0001,"Senior managers - health, education, social and community services and membership organizations",0,0.2
0001,"Senior managers - trade, broadcasting and other services",0,0.2
1001,Financial managers,0,0.2
1001,Human resources managers,0,0.2
1001,Other administrative services managers,0,0.2
1001,Purchasing managers,0,0.2
1002,Advertising managers,0,0.2
1002,Banking and other investment managers,0,0.2
1002,Credit managers,0,0.2
1002,E-business managers,0,0.2
1002,Insurance managers,0,0.2
1002,Marketing managers,0,0.2
1002,Mortgage broker managers,0,0.2
1002,Other business services managers,0,0.2
1002,Public relation managers,0,0.2
1002,Real estate service managers,0,0.2
1002,Securities manager,0,0.2
1003,Telecommunication carriers managers,0,0.2
1110,Accountants,1,0.3
1110,Brokers,1,0.3
1110,Financial Underwriters,1,0.3
1110,Financial advisors,1,0.3
1110,Financial analysts,1,0.3
1110,Financial auditors,1,0.3
1110,Financial examiners and inspectors,1,0.3
1110,Financial investigators,1,0.3
1110,Investment analysts,1,0.3
1110,Mortgage brokers,1,0.3
1110,Securities agents and investment dealers,1,0.3
1110,Trust officers,1,0.3
1120,Human resources professionals,1,0.3
1120,Professional occupations in business management consulting,1,0.3
1120,"Professional occupations in marketing, advertising and public relations",1,0.3
1201,"Supervisors, finance and insurance office workers",2,0.4
1201,"Supervisors, general office and administrative support workers",2,0.4
1201,"Supervisors, library, correspondence and related information workers",2,0.4
1201,"Supervisors, supply chain, tracking and scheduling coordination occupations",2,0.4
1210,Conference and event planners,2,0.4
1210,Excise tax revenue officers,2,0.4
1210,Executive assistants,2,0.4
1210,Government benefits services officers,2,0.4
1210,Human resources and recruitment officers,2,0.4
1210,Procurement and purchasing agents and officers,2,0.4
1211,Court reporters,2,0.4
1211,Health information management occupations,2,0.4
1211,Medical transcriptionists,2,0.4
1211,Records management technicians,2,0.4
1211,Statistical officers and related research support occupations,2,0.4
1220,Accounting technicians and bookkeepers,2,0.4
1220,Appraisers,2,0.4
1220,Assessors,2,0.4
1220,Business valuators,2,0.4
1220,Insurance adjusters,2,0.4
1220,Insurance claims examiners,2,0.4
1220,Insurance underwriters,2,0.4
1310,Administrative officers,3,0.6
1310,Payroll administrators,3,0.6
1310,Property administrators,3,0.6
1311,Administrative assistants,3,0.6
1311,Legal administrative assistants,3,0.6
1311,Medical administrative assistants,3,0.6
1320,Custom brokers,3,0.6
1320,Production logistics coordinators,3,0.6
1320,Ship brokers,3,0.6
1320,Transportation logistics coordinators,3,0.6
1410,Court clerks and related court services occupations,4,0.8
1410,File clerks,4,0.8
1410,General office support workers,4,0.8
1410,Hospital admitting clerks,4,0.8
1410,Personnel clerks,4,0.8
1410,Receptionists,4,0.8
1410,Switchboard and answering service operators,4,0.8
1410,Telephone operators,4,0.8
1411,Data entry clerks,4,0.8
1411,Desktop publishing operators,4,0.8
1411,Statistical clerks,4,0.8
1411,Survey interviewers,4,0.8
1411,Typesetting input and output operators,4,0.8
1420,Accounting and related clerks,4,0.8
1420,Bank clerks,4,0.8
1420,Collection clerks,4,0.8
1420,Insurance clerks,4,0.8
1420,Other financial clerks,4,0.8
1430,Classified advertising clerks,4,0.8
1430,Correspondence clerks,4,0.8
1430,Library assistants and clerks,4,0.8
1430,Proofreaders and editorial assistants,4,0.8
1430,Readers and press clippers,4,0.8
1430,Regulatory clerks,4,0.8
1440,Dispatchers,4,0.8
1440,Inventory control workers,4,0.8
1440,Production logistics workers,4,0.8
1440,Purchasing control workers,4,0.8
1440,Shippers and receivers,4,0.8
1440,Storekeepers and partspersons,4,0.8
1440,Transportation route and crew schedulers,4,0.8
2001,Architecture and urban planning managers,0,0.2
2001,Computer and information systems managers,0,0.2
2001,Engineering managers,0,0.2
2001,Science Managers,0,0.2
2110,Astronauts,1,0.3
2110,Astronomers,1,0.3
2110,Chemists,1,0.3
2110,Geoscientists,1,0.3
2110,Materials scientists,1,0.3
2110,Metallurgists,1,0.3
2110,Meteorologists and climatologists,1,0.3
