NOC_CODE,OASIS_LABEL,Reading Comprehension,Writing,Numeracy,Digital Literacy,Oral Communication: Active Listening,Oral Communication: Oral Comprehension,Oral Communication: Oral Expression,Critical Thinking,Decision Making,Evaluation,Learning and Teaching Strategies,Problem Solving,Systems Analysis,Digital Production,Preventative Maintenance,Equipment and Tool Selection,Operation and Control,Operation Monitoring of Machinery and Equipment,Quality Control Testing,Repairing,Setting up,Product Design,Troubleshooting,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Monitoring,Time Management,Coordinating,Instructing,Negotiating,Persuading,Social Perceptiveness,Categorization Flexibility,Deductive Reasoning,Fluency of Ideas,Inductive Reasoning,Information Ordering,Mathematical Reasoning,Memorizing,Multitasking,Numerical Ability,Pattern Identification,Pattern Organization Speed,Perceptual Speed,Problem Identification,Selective Attention,Spatial Orientation,Spatial Visualization,Verbal Ability,Written Comprehension,Written Expression,Body Flexibility,Dynamic Strength,Explosive Strength,Gross Body Coordination,Gross Body Equilibrium,Multi-Limb Coordination,Stamina,Static Strength,Trunk Strength,Arm-Hand Steadiness,Control of Settings,Finger Dexterity,Manual Dexterity,Multi-Signal Response,Rate Control,Reaction Time,Speed of Limb Movement,Finger-Hand-Wrist Motion,Auditory Attention,Depth Perception,Far Vision,Glare Tolerance,Hearing Sensitivity,Near Vision,Night Vision,Peripheral Vision,Speech Clarity,Speech Recognition,Sound Localization,Colour Perception,Total_Impact_0_1,Total_Impact_%
0001,Legislators,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5,5,4,5,5,4,5,5,4,4,4,3,5,4,2,3,5,5,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,2,3,0,0,5,4,0,2,0.6332218506131552,63.32
0001,Senior government managers and officials,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5,4,5,4,5,4,5,4,4,4,4,3,5,4,0,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,3,0,0,5,4,0,2,0.624526198439242,62.45
0001,"Senior managers - construction, transportation, production and utilities",5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5,4,5,4,5,5,5,4,5,4,4,3,5,4,0,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,3,0,1,5,4,0,2,0.6483835005574138,64.84
0001,"Senior managers - financial, communications and other business services",5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5,4,5,4,5,5,5,4,5,4,4,3,5,4,0,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,3,0,0,5,4,0,2,0.6329988851727982,63.3
0001,"Senior managers - health, education, social and community services and membership organizations",5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5,5,5,4,5,5,5,4,5,4,4,3,5,4,1,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,3,0,0,5,4,0,2,0.6372352285395764,63.72
0001,"Senior managers - trade, broadcasting and other services",5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5,4,5,4,5,5,5,4,5,4,4,3,5,4,0,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,3,0,0,5,4,0,2,0.6421404682274249,64.21
1001,Financial managers,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4,4,4,3,4,5,4,2,5,4,3,3,4,3,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,3,4,0,1,0.5453734671125977,54.54
1001,Human resources managers,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3,3,4,3,3,3,4,2,3,2,3,2,4,3,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,4,4,0,1,0.4992196209587515,49.92
1001,Other administrative services managers,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3,3,4,3,3,3,3,3,3,2,3,2,3,3,0,1,3,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,3,0,0,3,3,0,2,0.4608695652173914,46.09
1001,Purchasing managers,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4,3,4,3,3,4,3,3,4,2,3,2,3,3,0,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,3,0,0,3,3,0,2,0.4931995540691194,49.32
